,Sentence,Slots
0,please type in the card holder s name name card holder name card form,"[3, 3, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3]"
1,please enter your zip code postal code card form,"[3, 3, 1, 2, 2, 2, 2, 2, 3]"
2,please type in the of your credit card number card number card number edit text card number,"[3, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2]"
3,please type in credit card s date card,"[3, 3, 3, 2, 2, 3, 2, 2]"
4,email email customer information india checkout checkout email,"[2, 2, 1, 3, 1, 3, 3, 2]"
5,first name first name checkout shipping address first name,"[2, 2, 2, 2, 3, 2, 2, 2, 2]"
6,last name last name checkout shipping address last name,"[1, 2, 1, 2, 3, 2, 2, 1, 2]"
7,address address checkout shipping address address,"[2, 2, 3, 2, 2, 2]"
8,apartment suite etc optional apartment suite etc optional checkout shipping address address,"[1, 1, 3, 3, 1, 1, 3, 3, 3, 2, 2, 2]"
9,city city checkout shipping address city,"[2, 2, 3, 2, 2, 2]"
10,pin code pin code checkout shipping address zip,"[2, 2, 2, 2, 3, 2, 2, 2]"
11,mobile number only mobile number only checkout shipping address phone,"[2, 2, 3, 2, 2, 3, 3, 2, 2, 2]"
12,please type in the card holder s name name card holder name,"[3, 3, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2]"
13,please enter your zip code postal code,"[3, 3, 1, 2, 2, 2, 2]"
14,please type in the of your credit card number card number card number edit text card number,"[3, 3, 3, 3, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2]"
15,please type in credit card s date card card details,"[3, 3, 3, 2, 2, 3, 2, 2, 2, 3]"
16,email email email,"[2, 2, 2]"
17,password password password,"[2, 2, 2]"
18,name name name,"[2, 2, 2]"
19,email email email,"[2, 2, 2]"
20,password password password,"[2, 2, 2]"
21,email,[2]
22,password,[2]
23,username,[2]
24,email,[2]
25,password,[2]
26,email address edit text user info email email address error view email address error view,"[2, 2, 3, 3, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3]"
27,password user info password label main id main id,"[2, 1, 3, 2, 3, 3, 3, 3, 3]"
28,email address edit text input layout,"[2, 2, 3, 3, 3, 3]"
29,password edit text password password input layout,"[2, 3, 3, 2, 2, 3, 3]"
30,first name edit text input layout,"[2, 2, 3, 3, 3, 3]"
31,birthday optional edit text input layout form id,"[1, 3, 3, 3, 3, 3, 3, 3]"
32,first name user info form id error view telephone user info phone,"[2, 2, 1, 3, 3, 3, 2, 3, 1, 1, 3, 2]"
