,inputType,sentences,target,trans_input
0,97, please type in the card holder s name cardholder name   card holder name  card form  ,17,please type in the card holder s name name card holder name card form
1,113, please enter your zip code postcode   postal code  textinput placeholder  card form,5,please enter your zip code postal code card form
2,2, please type in the digits of your credit card number card number card number edit text  card number    textinput placeholder,12,please type in the of your credit card number card number card number edit text card number
3,2, please type in credit card s expiration date expiration   card expiration    ,13,please type in credit card s date card
5,209,  email email customer information himalaya wellness india checkout checkout email  missing   missing   missing ,15,email email customer information india checkout checkout email
6,1,  first name first name checkout shipping address first name  missing   missing   missing ,17,first name first name checkout shipping address first name
7,1,  last name last name checkout shipping address last name  missing   missing   missing ,17,last name last name checkout shipping address last name
8,1,  address address checkout shipping address address  missing   missing   missing ,2,address address checkout shipping address address
9,1,  apartment suite etc optional apartment suite etc optional checkout shipping address address  missing   missing   missing ,2,apartment suite etc optional apartment suite etc optional checkout shipping address address
10,1,  city city checkout shipping address city  missing   missing   missing ,0,city city checkout shipping address city
11,1,  pin code pin code checkout shipping address zip  missing   missing   missing ,5,pin code pin code checkout shipping address zip
12,3,  mobile number digits only mobile number digits only checkout shipping address phone  missing   missing   missing ,19,mobile number only mobile number only checkout shipping address phone
13,97, please type in the card holder s name cardholder name   card holder name    ,17,please type in the card holder s name name card holder name
14,113, please enter your zip code postcode   postal code    ,5,please enter your zip code postal code
15,2, please type in the digits of your credit card number card number card number edit text  card number    ,12,please type in the of your credit card number card number card number edit text card number
16,2, please type in credit card s expiration date expiration   card expiration    card details,13,please type in credit card s date card card details
18,33,  email email  email container    container,15,email email email
19,129,  password password  password container  container  ,18,password password password
20,97,  name name  name container    textinput placeholder,17,name name name
21,33,  email email  email container    textinput placeholder,15,email email email
22,129,  password password  password container    ,18,password password password
23,33,  emailvalue  email  scrollview  scrollview,15,email
24,129,  passwordvalue  password    scrollview,18,password
25,8193,  usernamevalue  username    scrollview,17,username
26,33,  emailvalue  email    ,15,email
27,129,  passwordvalue  password    textinput placeholder,18,password
28,33,  email address edit text  user info email  email address error view  email address error view,15,email address edit text user info email email address error view email address error view
29,129,  password user info password  float label  main container id  main container id,18,password user info password label main id main id
30,33,  email address edit text  input layout    ,15,email address edit text input layout
31,129,  password edit text password  password input layout    ,18,password edit text password password input layout
32,8192,  first name edit text  input layout  textinput placeholder  textinput placeholder,17,first name edit text input layout
33,0,  birthday optional edit text  input layout  form container id  ,13,birthday optional edit text input layout form id
34,8192,  first name user info firstname  form container id  error view  telephone user info phone,17,first name user info form id error view telephone user info phone
35,8192,  last name user info lastname  form container id  cellphone user info cellphone  address line user info address,17,last name user info form id user info address line user info address
36,3,  postal code user info postcode  form container id  error view  error view,5,postal code user info form id error view error view
37,3,  telephone user info phone  form container id  error view  error view,19,telephone user info phone form id error view error view
38,3,  cellphone user info cellphone  form container id  address line optional user info address  address line user info address,19,user info form id address line optional user info address address line user info address
